time,latent_dim,latent,mu,logvar
2017-04-15 12:00:00,2,-0.51501787,-0.0029852092,-0.0023822486
2017-04-15 12:00:00,3,-2.0593896,0.0011094548,-0.009583622
2017-04-15 12:00:00,4,2.064233,-0.0025312752,0.002946511
2017-04-15 12:00:00,5,-0.10654596,0.0010344386,-0.00048162788
2017-04-15 12:00:00,6,1.0572295,-0.0045449734,0.0011494309
2017-04-15 12:00:00,7,1.7385517,-0.0022556633,0.0042861328
2017-05-16 00:00:00,0,-0.650704,-0.00057959557,0.00088118017
2017-05-16 00:00:00,1,0.35284594,-0.006860018,-0.00014125556
2017-05-16 00:00:00,2,0.34174448,-0.0021689236,-0.0009060204
2017-05-16 00:00:00,3,-1.2833477,-0.00613847,0.002640143
2017-05-16 00:00:00,4,-1.4523629,0.006108269,0.0012460649
2017-05-16 00:00:00,5,-0.050648317,-0.001795128,0.0008388534
2017-05-16 00:00:00,6,2.5195165,0.00090163946,0.0011027753
2017-05-16 00:00:00,7,-1.4655586,0.0051543266,0.005425699
2017-06-15 12:00:00,0,-1.4807943,-0.00060510635,0.00089402497
2017-06-15 12:00:00,1,-0.19545889,-0.007297963,-0.000532873
2017-06-15 12:00:00,2,1.5279803,-0.0025852323,-0.0010796934
2017-06-15 12:00:00,3,-0.25080165,-0.0061903037,0.0015059114
2017-06-15 12:00:00,4,1.3977685,0.0062674284,0.0018002838
2017-06-15 12:00:00,5,-1.3537283,-0.002168268,0.00046286732
2017-06-15 12:00:00,6,-0.054530893,0.0008968115,0.0019008815
2017-06-15 12:00:00,7,-1.5017028,0.0052251965,0.0054279044
2017-07-16 00:00:00,0,1.4665788,-0.0013389587,0.0009797215
2017-07-16 00:00:00,1,1.8613085,-0.008057281,-0.0012510493
2017-07-16 00:00:00,2,0.9685538,-0.0025964677,-0.0009922832
2017-07-16 00:00:00,3,0.7352344,-0.0068668798,0.0026761293
2017-07-16 00:00:00,4,1.5107296,0.006650701,0.0013687015
2017-07-16 00:00:00,5,0.223221,-0.00234285,0.00067158043
2017-07-16 00:00:00,6,0.5985364,0.0012253225,0.0015754402
2017-07-16 00:00:00,7,0.2721501,0.006140694,0.005335152
2017-08-16 00:00:00,0,-0.5335322,-0.0005145818,0.001483947
2017-08-16 00:00:00,1,-0.39951158,-0.00688453,-0.001003772
2017-08-16 00:00:00,2,-0.83109736,-0.0019834638,-0.0011804402
2017-08-16 00:00:00,3,-0.88602483,-0.0060429424,0.0017196536
2017-08-16 00:00:00,4,-1.4164605,0.006447464,0.001041457
2017-08-16 00:00:00,5,-1.6371012,-0.0021270663,0.00026478618
2017-08-16 00:00:00,6,0.739622,0.00077837706,0.0012419075
2017-08-16 00:00:00,7,0.44084617,0.0052268207,0.0050430745
2017-09-15 12:00:00,0,-0.14328521,-0.00046811998,0.0011853874
2017-09-15 12:00:00,1,0.8294889,-0.005971521,-0.0008357465
2017-09-15 12:00:00,2,-0.38637558,-0.0022337437,-0.0010974258
2017-09-15 12:00:00,3,-0.9383541,-0.0058215484,0.0019438416
2017-09-15 12:00:00,4,1.5474877,0.0056106746,0.00071398914
2017-09-15 12:00:00,5,-0.6621581,-0.0019211918,0.00042444468
2017-09-15 12:00:00,6,1.1482908,0.00027760863,0.00066539645
2017-09-15 12:00:00,7,-0.1311325,0.005047545,0.004862644
2017-10-16 00:00:00,0,-1.3273058,-0.0008440465,0.0005213469
2017-10-16 00:00:00,1,0.76684797,-0.007378742,-0.00044747442
2017-10-16 00:00:00,2,0.84337986,-0.002899617,-0.00092567503
2017-10-16 00:00:00,3,0.20259169,-0.0064434335,0.00194709
2017-10-16 00:00:00,4,-0.5786967,0.0059871376,0.001966238
2017-10-16 00:00:00,5,0.9730722,-0.0019723475,0.0007447079
2017-10-16 00:00:00,6,-0.056278326,0.0010285974,0.0018514544
2017-10-16 00:00:00,7,-2.8479738,0.005505964,0.0055425093
2017-11-15 12:00:00,0,-1.5035923,0.008271828,-0.0014656484
2017-11-15 12:00:00,1,-1.1642002,0.0052279383,0.007293269
2017-11-15 12:00:00,2,0.9456594,-0.004934877,-0.0025153607
2017-11-15 12:00:00,3,0.71858585,0.00043625757,-0.009841219
2017-11-15 12:00:00,4,2.8265305,-0.0044459403,0.0059443116
2017-11-15 12:00:00,5,-0.19635582,0.0023064911,0.00130748
2017-11-15 12:00:00,6,0.9821601,-0.0040857196,0.0029327273
2017-11-15 12:00:00,7,-0.11358642,-0.0014296323,0.006103404
2017-12-16 00:00:00,0,-0.29996586,-0.0007382184,0.0009099394
2017-12-16 00:00:00,1,-0.8611888,-0.007681802,-0.0007249117
2017-12-16 00:00:00,2,1.1603377,-0.0028766692,-0.0009063482
2017-12-16 00:00:00,3,0.3510991,-0.006654203,0.0022732466
2017-12-16 00:00:00,4,0.31464893,0.0065131485,0.001562193
2017-12-16 00:00:00,5,1.3337882,-0.0019527078,0.0007959753
2017-12-16 00:00:00,6,0.076937996,0.0012048483,0.0014465153
2017-12-16 00:00:00,7,-0.46880144,0.0058876276,0.0057053566
2018-01-16 00:00:00,0,0.5745095,0.005701065,-0.0014278293
2018-01-16 00:00:00,1,-0.51416075,0.0074677765,0.004827164
2018-01-16 00:00:00,2,-1.2608021,-0.0033757985,-0.0020061284
2018-01-16 00:00:00,3,-3.252914,0.0022096857,-0.009747088
2018-01-16 00:00:00,4,0.4010216,-0.0042684823,0.0030183345
2018-01-16 00:00:00,5,-0.47742885,0.0006402284,-0.001544252
2018-01-16 00:00:00,6,-0.7477324,-0.0063388646,0.001187399
2018-01-16 00:00:00,7,-0.999002,-0.004682049,0.0027270392
2018-02-14 12:00:00,0,-1.6350763,0.0001103282,0.00067713857
2018-02-14 12:00:00,1,0.44877037,-0.004894495,0.0003195703
2018-02-14 12:00:00,2,0.6843141,-0.0027086139,-0.00084528327
2018-02-14 12:00:00,3,-0.5721621,-0.005070243,0.0015152693
2018-02-14 12:00:00,4,-0.2856654,0.004683122,0.00077196956
2018-02-14 12:00:00,5,-0.28254992,-0.0016021132,0.0007488951
2018-02-14 12:00:00,6,-0.13898171,-0.0002808571,0.00023928285
2018-02-14 12:00:00,7,-1.3333132,0.0042171776,0.00523635
2018-03-16 00:00:00,0,2.03244,0.004630029,-0.0025035888
2018-03-16 00:00:00,1,-0.2288295,0.01978141,0.00324402
2018-03-16 00:00:00,2,1.5786097,-0.0024867654,-0.003666699
2018-03-16 00:00:00,3,1.1631837,0.010389745,-0.020285547
2018-03-16 00:00:00,4,0.32471275,-0.0106858015,0.0015917569
2018-03-16 00:00:00,5,-0.42262477,0.00053936243,-0.007452175
2018-03-16 00:00:00,6,0.20267645,-0.014949441,-0.0013573319
2018-03-16 00:00:00,7,1.7324733,-0.013301626,-0.0034384206
2018-04-15 12:00:00,0,1.6205053,0.0043280423,-0.00011049211
2018-04-15 12:00:00,1,0.30736667,0.002115354,0.0035352036
2018-04-15 12:00:00,2,-0.4884832,-0.0035640001,-0.0017207414
2018-04-15 12:00:00,3,-2.2239726,-0.0010954812,-0.0061190873
2018-04-15 12:00:00,4,0.17577069,-0.0014095306,0.0032364428
2018-04-15 12:00:00,5,0.89895606,0.0002541095,0.0003362745
2018-04-15 12:00:00,6,-0.7761792,-0.003110379,0.0010241419
2018-04-15 12:00:00,7,-0.8969408,0.00066164136,0.0050701573
2018-05-16 00:00:00,0,0.08009219,0.0025457293,0.002213478
2018-05-16 00:00:00,1,1.094059,-0.003567636,0.00043220818
2018-05-16 00:00:00,2,-0.77955014,-0.0024343133,-0.0016844422
2018-05-16 00:00:00,3,1.0445622,-0.0035359524,-0.0023286939
2018-05-16 00:00:00,4,0.5920533,0.005500585,0.00066778064
2018-05-16 00:00:00,5,-0.31665766,-0.0017184913,-0.00061152875
2018-05-16 00:00:00,6,1.3256965,-0.0012546182,0.0005348921
2018-05-16 00:00:00,7,-1.0910451,0.0025928915,0.005257882
2018-06-15 12:00:00,0,-0.43238175,-0.0013310462,0.0011140406
2018-06-15 12:00:00,1,0.3287098,-0.008410484,-0.0013874695
2018-06-15 12:00:00,2,-0.57268,-0.002617836,-0.00089266896
2018-06-15 12:00:00,3,0.56167763,-0.006941214,0.0026719868
2018-06-15 12:00:00,4,0.26206553,0.007226214,0.0012923777
2018-06-15 12:00:00,5,0.22714525,-0.0023062825,0.0005593598
2018-06-15 12:00:00,6,0.4971066,0.0014464259,0.0015260279
2018-06-15 12:00:00,7,-0.13812323,0.006117031,0.005449988
2018-07-16 00:00:00,0,-1.1175402,-0.0014285892,0.00092741847
2018-07-16 00:00:00,1,0.32285076,-0.007259041,-0.0010474846
2018-07-16 00:00:00,2,-1.0929046,-0.0019934177,-0.0010359734
2018-07-16 00:00:00,3,1.0220904,-0.006463349,0.0026337504
2018-07-16 00:00:00,4,-0.6591406,0.0059126467,0.0013637096
2018-07-16 00:00:00,5,-1.260912,-0.0022221059,0.00062351674
2018-07-16 00:00:00,6,-0.42570207,0.0010117888,0.0014603585
2018-07-16 00:00:00,7,2.7040396,0.0057561696,0.0049369633
2018-08-16 00:00:00,0,-1.4891006,-0.001457125,0.00093215704
2018-08-16 00:00:00,1,0.019643296,-0.008153349,-0.0012352839
2018-08-16 00:00:00,2,1.656702,-0.0025203228,-0.00084762275
2018-08-16 00:00:00,3,0.90569466,-0.0068075806,0.0027076453
2018-08-16 00:00:00,4,-0.15095253,0.0067249984,0.0013593584
2018-08-16 00:00:00,5,1.7382658,-0.0023287535,0.0006701201
2018-08-16 00:00:00,6,-1.1425327,0.0013649166,0.001572445
2018-08-16 00:00:00,7,-1.9398292,0.0060097724,0.005320281
2018-09-15 12:00:00,0,0.657286,-0.0015283823,0.0010251254
2018-09-15 12:00:00,1,0.2165034,-0.008524835,-0.0014190823
2018-09-15 12:00:00,2,-0.5673157,-0.002517581,-0.000812605
2018-09-15 12:00:00,3,1.6352124,-0.007044647,0.0028945804
2018-09-15 12:00:00,4,-0.48224097,0.0071992725,0.0013768226
2018-09-15 12:00:00,5,-0.34001982,-0.0022519976,0.0006078929
2018-09-15 12:00:00,6,-0.7402531,0.0016205311,0.0015777498
2018-09-15 12:00:00,7,1.0101774,0.006191984,0.005408123
2018-10-16 00:00:00,0,1.0682086,-0.0004195869,0.0008573979
2018-10-16 00:00:00,1,-0.56151843,-0.005753875,-0.00094665587
2018-10-16 00:00:00,2,-0.9857445,-0.0029723942,-0.0015353113
2018-10-16 00:00:00,3,-0.31946832,-0.005265616,-0.00041297078
2018-10-16 00:00:00,4,-1.9609545,0.005378023,0.0016985089
2018-10-16 00:00:00,5,1.4188144,-0.0026008338,-0.0004985705
2018-10-16 00:00:00,6,-0.38686994,-0.0005660951,0.0019189715
2018-10-16 00:00:00,7,1.3957328,0.0042651594,0.004679717
2018-11-15 12:00:00,0,-0.2889049,0.0053132176,-0.0011321455
2018-11-15 12:00:00,1,1.350802,0.006429076,0.005097531
2018-11-15 12:00:00,2,-1.501445,-0.0028213859,-0.001992926
2018-11-15 12:00:00,3,0.42449173,0.0010776855,-0.007786125
2018-11-15 12:00:00,4,-0.109297305,-0.004359752,0.0034642369
2018-11-15 12:00:00,5,-0.5821063,0.0012930781,-0.00026964396
2018-11-15 12:00:00,6,0.45239973,-0.0050426424,0.00077430904
2018-11-15 12:00:00,7,1.8733925,-0.002433613,0.0036518127
2018-12-16 00:00:00,0,-0.23571403,0.0041267574,-0.0015144199
2018-12-16 00:00:00,1,-0.12772876,0.0016557127,0.0050847083
2018-12-16 00:00:00,2,-1.3809581,-0.0028651655,-0.0019240677
2018-12-16 00:00:00,3,-0.6347265,-0.0018862151,-0.003415987
2018-12-16 00:00:00,4,-0.18379492,-0.0014517307,0.003988102
2018-12-16 00:00:00,5,-1.0506605,0.00049361587,0.0009627268
2018-12-16 00:00:00,6,0.50387293,-0.0028768182,0.0025194287
2018-12-16 00:00:00,7,1.0615076,-0.00018374622,0.0046915784
2019-01-16 00:00:00,0,0.1363538,0.008140534,-0.0011316836
