time,latent_dim,latent,alpha,beta,lambda
1942-04-15 12:00:00,4,0.22949408,1.0014839,2.0060213,0.49923894
1942-04-15 12:00:00,5,0.18628937,1.0011771,2.0031226,0.4998082
1942-04-15 12:00:00,6,0.10789376,1.0015712,1.9998482,0.5008236
1942-04-15 12:00:00,7,1.3354864,1.0007492,2.0062828,0.49880767
1942-04-15 12:00:00,8,0.9603458,1.0001906,2.0030236,0.4993404
1942-04-15 12:00:00,9,0.18157181,0.99948406,2.004114,0.4987162
1942-05-16 00:00:00,0,0.7823098,0.9988753,2.0026984,0.49876472
1942-05-16 00:00:00,1,0.45315167,1.0002903,2.010055,0.49764323
1942-05-16 00:00:00,2,1.3079296,1.0012097,2.0090945,0.4983388
1942-05-16 00:00:00,3,0.79348284,0.9992788,2.0033092,0.49881405
1942-05-16 00:00:00,4,0.14181127,1.0013357,2.0061836,0.49912468
1942-05-16 00:00:00,5,0.07935882,1.001041,2.0038137,0.49956793
1942-05-16 00:00:00,6,0.98563117,1.0016911,2.0008605,0.50063014
1942-05-16 00:00:00,7,0.17378813,1.0006145,2.005438,0.4989506
1942-05-16 00:00:00,8,0.4989513,0.9997648,2.0036192,0.49897945
1942-05-16 00:00:00,9,0.6065071,0.9997612,2.0052042,0.49858326
1942-06-15 12:00:00,0,0.9158118,0.99991107,2.0037441,0.49902132
1942-06-15 12:00:00,1,0.11587269,0.99995744,2.0024261,0.49937296
1942-06-15 12:00:00,2,0.19497038,0.9990897,2.0035799,0.4986523
1942-06-15 12:00:00,3,0.052591268,1.0001833,1.99555,0.5012069
1942-06-15 12:00:00,4,1.5637456,0.99974394,2.0052903,0.49855322
1942-06-15 12:00:00,5,0.12909564,1.0017251,2.0063741,0.49927133
1942-06-15 12:00:00,6,0.40940228,1.0018531,2.005766,0.49948657
1942-06-15 12:00:00,7,0.71205205,0.9989571,1.9971039,0.50020283
1942-06-15 12:00:00,8,0.14497674,0.9954158,2.0031345,0.49692908
1942-06-15 12:00:00,9,0.008195987,0.9996278,2.0100462,0.49731582
1942-07-16 00:00:00,0,0.061204396,0.99626493,1.9924719,0.50001454
1942-07-16 00:00:00,1,0.0010410971,0.9964305,1.9888009,0.5010207
1942-07-16 00:00:00,2,0.64205897,0.99535805,1.9882209,0.5006275
1942-07-16 00:00:00,3,0.20202179,0.99766326,1.9827266,0.5031774
1942-07-16 00:00:00,4,0.6592458,0.9975961,1.9957603,0.49985766
1942-07-16 00:00:00,5,0.034267306,1.0007045,1.9956363,0.5014463
1942-07-16 00:00:00,6,0.13971364,0.9993165,1.9936221,0.50125676
1942-07-16 00:00:00,7,0.059062373,0.9973397,1.9850922,0.5024148
1942-07-16 00:00:00,8,0.1464782,0.9898194,1.9907509,0.49720907
1942-07-16 00:00:00,9,0.8374427,0.99557215,1.9969398,0.4985489
1942-08-16 00:00:00,0,0.12277936,0.99661314,1.9948334,0.4995972
1942-08-16 00:00:00,1,0.30435386,0.9968346,1.9908049,0.50071937
1942-08-16 00:00:00,2,1.4927267,0.99584144,1.9908015,0.5002214
1942-08-16 00:00:00,3,0.09205369,0.9980795,1.9852618,0.5027445
1942-08-16 00:00:00,4,0.37708387,0.9980503,1.9973367,0.49969053
1942-08-16 00:00:00,5,0.21467347,1.0014591,1.9970416,0.50147134
1942-08-16 00:00:00,6,0.22565864,0.99966586,1.9951242,0.50105447
1942-08-16 00:00:00,7,0.035407383,0.9976162,1.9878564,0.50185525
1942-08-16 00:00:00,8,0.8124059,0.99101996,1.9920021,0.49749944
1942-08-16 00:00:00,9,0.113024205,0.99578506,1.9984988,0.49826652
1942-09-15 12:00:00,0,0.007556559,0.99038696,1.9722683,0.5021563
1942-09-15 12:00:00,1,0.022458225,0.9908038,1.9676058,0.50355804
1942-09-15 12:00:00,2,0.51835257,0.98932695,1.963339,0.50390023
1942-09-15 12:00:00,3,0.3780516,0.9933916,1.9614924,0.5064468
1942-09-15 12:00:00,4,1.0065601,0.99399,1.979787,0.5020692
1942-09-15 12:00:00,5,0.38562745,0.99755776,1.9781561,0.50428665
1942-09-15 12:00:00,6,0.5088078,0.99542063,1.9741467,0.5042283
1942-09-15 12:00:00,7,0.46014807,0.99496335,1.9645102,0.5064689
1942-09-15 12:00:00,8,0.63757,0.9802159,1.9725202,0.49693578
1942-09-15 12:00:00,9,0.25461936,0.99021274,1.9760342,0.50111115
1942-10-16 00:00:00,0,0.2899093,0.9993446,2.0039093,0.4986975
1942-10-16 00:00:00,1,0.47903785,1.0003706,2.008637,0.49803457
1942-10-16 00:00:00,2,0.90573066,1.0007615,2.0085058,0.4982617
1942-10-16 00:00:00,3,0.5165839,0.9997288,2.0019937,0.4993666
1942-10-16 00:00:00,4,0.3497941,1.0010401,2.0065413,0.49888837
1942-10-16 00:00:00,5,0.4304151,1.0014771,2.0051882,0.49944293
1942-10-16 00:00:00,6,1.200661,1.001902,2.0030408,0.5001905
1942-10-16 00:00:00,7,0.24102527,1.0002395,2.0040073,0.49911967
1942-10-16 00:00:00,8,0.18210477,0.9989185,2.0041323,0.49842942
1942-10-16 00:00:00,9,0.8481887,0.9998994,2.0073829,0.49811095
1942-11-15 12:00:00,0,0.94978863,0.99815696,2.001662,0.49866408
1942-11-15 12:00:00,1,0.18743236,1.0000271,2.0110567,0.49726447
1942-11-15 12:00:00,2,0.44400948,1.0014861,2.0094204,0.4983955
1942-11-15 12:00:00,3,0.77069664,0.99878615,2.0047305,0.4982147
1942-11-15 12:00:00,4,0.023557382,1.0016776,2.0056472,0.49942863
1942-11-15 12:00:00,5,0.11149584,1.0010335,2.0019445,0.50003064
1942-11-15 12:00:00,6,0.22218928,1.0013645,1.9980639,0.50116736
1942-11-15 12:00:00,7,0.015524796,1.0009812,2.0072794,0.49867558
1942-11-15 12:00:00,8,0.67912835,1.0007762,2.0022578,0.49982384
1942-11-15 12:00:00,9,0.30796164,0.9991899,2.0022764,0.49902695
1942-12-16 00:00:00,0,0.7417383,0.99905014,2.002745,0.49884042
1942-12-16 00:00:00,1,0.09025509,1.0003649,2.009883,0.49772298
1942-12-16 00:00:00,2,0.123516664,1.0011891,2.0089827,0.49835628
1942-12-16 00:00:00,3,0.5757424,0.9993549,2.0029204,0.4989489
1942-12-16 00:00:00,4,0.64667296,1.0012428,2.0062592,0.49905953
1942-12-16 00:00:00,5,0.050493613,1.0009141,2.0042005,0.4994082
1942-12-16 00:00:00,6,0.48715588,1.0017571,2.0014193,0.5005234
1942-12-16 00:00:00,7,0.3800396,1.0005379,2.0048947,0.49904758
1942-12-16 00:00:00,8,0.7165286,0.9995032,2.0039818,0.4987586
