time,latent_dim,latent
1990-10-16 00:00:00,1,0.37823707
1990-10-16 00:00:00,2,0.08374502
1990-10-16 00:00:00,3,-0.20455092
1990-10-16 00:00:00,4,0.14253539
1990-10-16 00:00:00,5,0.3812704
1990-10-16 00:00:00,6,-0.03531895
1990-11-15 12:00:00,0,-0.07874908
1990-11-15 12:00:00,1,0.40028104
1990-11-15 12:00:00,2,0.08776952
1990-11-15 12:00:00,3,-0.22248581
1990-11-15 12:00:00,4,0.11603741
1990-11-15 12:00:00,5,0.4360196
1990-11-15 12:00:00,6,-0.023755468
1990-12-16 00:00:00,0,-0.034319602
1990-12-16 00:00:00,1,0.3620842
1990-12-16 00:00:00,2,0.06916723
1990-12-16 00:00:00,3,-0.25995776
1990-12-16 00:00:00,4,0.1497953
1990-12-16 00:00:00,5,0.43419635
1990-12-16 00:00:00,6,0.017398126
1991-01-16 00:00:00,0,-0.08828674
1991-01-16 00:00:00,1,0.3356733
1991-01-16 00:00:00,2,0.047152624
1991-01-16 00:00:00,3,-0.18838364
1991-01-16 00:00:00,4,0.1465482
1991-01-16 00:00:00,5,0.38879353
1991-01-16 00:00:00,6,-0.005465135
1991-02-14 12:00:00,0,-0.0033473
1991-02-14 12:00:00,1,0.22582582
1991-02-14 12:00:00,2,0.024205893
1991-02-14 12:00:00,3,-0.27068332
1991-02-14 12:00:00,4,0.18747042
1991-02-14 12:00:00,5,0.39665228
1991-02-14 12:00:00,6,0.03066422
1991-03-16 00:00:00,0,0.6234515
1991-03-16 00:00:00,1,0.04133282
1991-03-16 00:00:00,2,-0.104650155
1991-03-16 00:00:00,3,-0.86541766
1991-03-16 00:00:00,4,0.16833374
1991-03-16 00:00:00,5,0.7954346
1991-03-16 00:00:00,6,0.21009138
1991-04-15 12:00:00,0,-0.15470433
1991-04-15 12:00:00,1,0.41839337
1991-04-15 12:00:00,2,-0.023690164
1991-04-15 12:00:00,3,-0.38228583
1991-04-15 12:00:00,4,0.2524206
1991-04-15 12:00:00,5,0.58057755
1991-04-15 12:00:00,6,0.028058916
1991-05-16 00:00:00,0,-0.17591451
1991-05-16 00:00:00,1,0.4511535
1991-05-16 00:00:00,2,-0.001345411
1991-05-16 00:00:00,3,-0.39809215
1991-05-16 00:00:00,4,0.21256307
1991-05-16 00:00:00,5,0.6833121
1991-05-16 00:00:00,6,-0.06451971
1991-06-15 12:00:00,0,-0.22450751
1991-06-15 12:00:00,1,0.35457003
1991-06-15 12:00:00,2,-0.043740377
1991-06-15 12:00:00,3,-0.30252212
1991-06-15 12:00:00,4,0.22959758
1991-06-15 12:00:00,5,0.58053523
1991-06-15 12:00:00,6,-0.082216315
1991-07-16 00:00:00,0,-0.11289691
1991-07-16 00:00:00,1,0.36348614
1991-07-16 00:00:00,2,0.046385467
1991-07-16 00:00:00,3,-0.16751875
1991-07-16 00:00:00,4,0.10055265
1991-07-16 00:00:00,5,0.42527807
1991-07-16 00:00:00,6,-0.06697604
1991-08-16 00:00:00,0,-0.17944309
1991-08-16 00:00:00,1,0.30515128
1991-08-16 00:00:00,2,-0.018928632
1991-08-16 00:00:00,3,-0.19860257
1991-08-16 00:00:00,4,0.14176956
1991-08-16 00:00:00,5,0.53964216
1991-08-16 00:00:00,6,-0.1427592
1991-09-15 12:00:00,0,-0.17689574
1991-09-15 12:00:00,1,0.32185468
1991-09-15 12:00:00,2,-0.002028942
1991-09-15 12:00:00,3,-0.20590976
1991-09-15 12:00:00,4,0.13201417
1991-09-15 12:00:00,5,0.58206075
1991-09-15 12:00:00,6,-0.13543662
1991-10-16 00:00:00,0,0.06278912
1991-10-16 00:00:00,1,0.46467745
1991-10-16 00:00:00,2,0.1457103
1991-10-16 00:00:00,3,-0.33728993
1991-10-16 00:00:00,4,0.08000838
1991-10-16 00:00:00,5,0.48881716
1991-10-16 00:00:00,6,0.04442943
1991-11-15 12:00:00,0,-0.08363474
1991-11-15 12:00:00,1,0.40995058
1991-11-15 12:00:00,2,0.08601606
1991-11-15 12:00:00,3,-0.30550486
1991-11-15 12:00:00,4,0.14345129
1991-11-15 12:00:00,5,0.49122024
1991-11-15 12:00:00,6,-0.05691129
1991-12-16 00:00:00,0,0.046869785
1991-12-16 00:00:00,1,0.15726808
1991-12-16 00:00:00,2,-0.0057064295
1991-12-16 00:00:00,3,-0.27198404
1991-12-16 00:00:00,4,0.19539905
1991-12-16 00:00:00,5,0.38379532
1991-12-16 00:00:00,6,0.026375368
1992-01-16 00:00:00,0,0.05237543
1992-01-16 00:00:00,1,0.30495128
1992-01-16 00:00:00,2,0.06433046
1992-01-16 00:00:00,3,-0.20534335
1992-01-16 00:00:00,4,0.0913332
1992-01-16 00:00:00,5,0.39578313
1992-01-16 00:00:00,6,0.0652029
1992-02-15 00:00:00,0,0.13679385
1992-02-15 00:00:00,1,-0.07525907
1992-02-15 00:00:00,2,-0.20412849
1992-02-15 00:00:00,3,-0.6338428
1992-02-15 00:00:00,4,0.4190067
